name,ingredients,instructions,cuisine,course,diet,region,tier,total_time_mins,servings,url
Saunf Aloo (Fennel Potato Curry) Recipe,"5 Potatoes (Aloo) - halved with skin,2 teaspoon Fennel seeds (Saunf) - crushed,2 teaspoon Red Chilli powder,1 teaspoon Turmeric powder (Haldi),1/4 cup Fresh cream - or 1/2 cup milk,4 sprig Coriander (Dhania) Leaves - finely chopped","To begin with Saunf Aloo, heat oil in a pressure cooker. Add turmeric powder, salt, red chilli powder and crushed fennel seeds till the fennel seeds turns golden in colour.Now add the potatoes and mix it properly with the masala. Sauce it for 2-3 minutes and then add enough water to cover the potatoes in the cooker.Switch the heat after two whistles and once the pressure is released, open the lid of the pressure cooker.The next step is to add the cream or milk and mash a few potatoes to get a thicker consistency. Let it cook for 5 more minutes or until the cooker releases 2 more whistles.Garnish the Saunf Aloo with some roasted saunf and chopped coriander. Serve Sauf Aloo along with Amritsari Dal and Whole Wheat lachha Paratha for a weekday meal.",Punjabi,Lunch,Vegetarian,Punjabi,1,25,6,https://www.archanaskitchen.com/saunf-aloo-fennel-potato-curry-recipe
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,"3/4 cup Mango Pulp (Puree),1 cup Curd (Dahi / Yogurt) - (low fat),1 tablespoon Sugar - or honey,2 pinch Saffron strands,3 tablespoons Badam (Almond) - roughly chopped,3 tablespoons Milk - luke warm+more cold milk as needed,Ice cubes - a few","To begin making Kesar Mango Lassi Recipe, soak one pinch kesar in 2 tablespoons warm milk and keep it aside for few minutes.Get prep with other ingredients as well. Take out the pulp from the mangoes and keep aside.In a blender, add mango pulp, curd/yogurt, cold milk and blend till combined.Once it is done, add chopped almonds (2 tablespoons), honey or sugar, some ice cubes and blend to make the Kesar Mango Lassi Recipe.Kesar Mango Lassi Recipe is ready to serve, garnish it with the rest of chopped almonds and saffron and serve with Bhel Puri Recipe or Asian Watermelon Salad Recipe during evening.",Indian,Snack,Vegetarian,Punjabi,1,25,2,https://www.archanaskitchen.com/mango-saffron-lassi-recipe
Tindora Sambharo Recipe - Instant Tendli Pickle,"1 cup Tindora (Dondakaya/ Kovakkai) - finely chopped,1 teaspoon Red Chilli powder,1/4 teaspoon Split Methi Seeds (Methi Kuria),1/2 teaspoon Split Mustard Seeds (Rai Kuria),1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Asafoetida (hing),1 tablespoon Sunflower Oil,Lemon - juice extracted,Salt - to taste","To begin making the Tindora Sambharo Recipe - Instant Tendli Pickle, combine all the ingredients including the carrot and capsicum pieces in a bowl.Stir well until all the ingredients are well combined.Store the Tindora Sambharo Recipe in the refrigerator and use as and when required.Serve Tindora Sambharo Recipe with dals, parathas or rice.Note: Gingely oil/Sesame oil or Mustard oil can be used for better taste.",Gujarati Recipes,Side Dish,Vegetarian,Gujarati,1,35,1,https://www.archanaskitchen.com/tindora-sambharo-recipe-instant-tendli-pickle
Baingan Bharta Recipe - Brinjal Bharta Recipe,"1 eggplant, 2 inch ginger - peel and tighten, 1 onion - finely chopped, 1 tomato - chopped, 2 green chillies - finely chopped, 1 teaspoon turmeric powder, 1 teaspoon garam masala powder, 1 teaspoon coriander powder , 1 tablespoon butter, 1 teaspoon red chili powder, salt - as per taste, 1 tablespoon oil, 2 sprigs of coriander - finely chopped (for garnish)","To start the Brinjal Bharta, first turn on the gas. Place the brinjals on the heat and roast them all the way around. After 10 minutes you will see that the brinjal skin has started coming out. Bake the eggplants and keep them aside till they become soft. After cooling, take out the skin of the brinjals and mash them with the help of a fork. Keep it aside. Now heat a pan. Add cumin seeds and let it cook for 10 seconds. After 10 seconds, add ginger, onion and cook till the onion becomes soft. Now add tomato, turmeric powder, green chilli, coriander powder, garam masala powder and red chili powder. Mix all and let it cook for 3 minutes to 4 minutes. Now add eggplant, butter and salt. Mix, slow down the heat and let it cook for 10 minutes. Turn off the gas and garnish with green coriander. Serve the Brinjal Bharta with Panchamel Dal, Spinach Raita and Phulka for dinner.",Punjabi,Side Dish,Vegetarian,Punjabi,1,60,4,http://www.archanaskitchen.com/baingan-bharta-recipe-in-hindi
Makki and Methi Roti Recipe,"2 cups Makki Ka Atta (Yellow Corn Meal Flour),1 1/2 cups Methi Leaves (Fenugreek Leaves) - chopped,2 Green Chillies - chopped,1 tablespoon Ajwain (Carom seeds),1 tablespoon Kashmiri Red Chilli Powder,Salt - to taste","To begin making Makki and Methi Roti Recipe, heat some water in a pan till lukewarm.In a steel mixing bowl, add Maize flour, chopped fenugreek leaves, green chillies, carom seeds and salt. Mix everything well. Now add lukewarm water to the maize flour little by little and knead into a soft dough. Add some oil on top of the entire ball of dough and keep aside. Place a tawa on low heat and let it heat up. Next divide the dough into small balls. Roll out each ball between two sheets of plastic (cling film) into a circle or you can use your hands with the help of wet fingers to make a small round roti. Place roti on the the tawa and cook it on low flame from both sides until brown spots appear. Prepare the rest of the the rotis in a similar way and serve hot. Serve Makki and Methi Roti with Sarson Ka Saag and Burani Raita for a delicious weekday meal.",Punjabi,Lunch,Vegetarian,Punjabi,1,30,4,https://www.archanaskitchen.com/makki-and-methi-roti-recipe
Cabbage and Carrot Sambharo Recipe - Gujarati Vegetable Stir Fry,"3 Carrots (Gajjar) - grated,3 cups Cabbage (Patta Gobi/ Muttaikose) - shredded,1 Green Bell Pepper (Capsicum) - thinly sliced,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Sugar,1 teaspoon Lemon juice,Salt - to taste,1 teaspoon Sunflower Oil,1 teaspoon Mustard seeds,1/4 teaspoon Asafoetida (hing),1 sprig Curry leaves,3 Green Chillies - slit lengthwise","To begin making the Cabbage and Carrot Sambharo Recipe, heat oil in a heavy bottomed pan on medium heat. Add the mustard seeds and allow it to crackle. Once it crackles, add the asafoetida, green chilies, curry leaves and saute for a few seconds. At this stage add the turmeric powder and the chopped vegetables, salt and stir to combine all the ingredients well. Turn the heat to low, cover the pan and allow the vegetables to cook in its own steam for about 3 to 4 minutes, until just about cooked. You want the vegetables to remain little firm and crunchy and not too soft.Once done, turn off the heat and the Cabbage and Carrot Sambharo is ready to be served.Serve Cabbage And Carrot Sambharo along with Palak Ragi & Oats Wheat Thepla Recipe or Beetroot & Sesame Thepla Recipe for a simple mean.",Gujarati Recipes,Lunch,Vegetarian,Gujarati,1,30,4,http://www.archanaskitchen.com/cabbage-and-carrot-sambharo-recipe-gujarati-vegetable-stirfry
Dhania Chole Masala Recipe - Chickpeas In Fresh Coriander Gravy,"1/2 cup Coriander (Dhania) Leaves - chopped,4 Green Chillies,1 inch Ginger,Salt - to taste,1 Lemon - juice extracted,2 cups Kabuli Chana (White Chickpeas) - soaked overnight,1 tablespoon Ghee,1 Onion - finely chopped,1 inch Ginger - finely chopped,3 cloves Garlic - finely chopped,1 Cinnamon Stick (Dalchini),1 Bay leaf (tej patta),1 Brown cardamom (Badi Elaichi),1 teaspoon Black Salt (Kala Namak),1/4 teaspoon Garam masala powder,1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Black Salt (Kala Namak),Salt - to taste,Salt - to taste","To begin making Dhania Chole Masala, wash and soak the chana or chickpeas overnight. Drain the water in which the chickpeas/chole is soaked in. Pressure cook the drained chana along with 3 cups of water and salt for 6 whistles. After 6 whistles reduce the heat to low and continue to cook for 20 minutes. Turn off the flame and allow the pressure to release naturally. The chana has be cooked well once you open the pressure cooker. Once done, when you press between your fingers to should mash easily.The next step is to make the Dhania Masala.Into a mixer grinder, add the coriander, ginger and green chillies, along with a little salt and lemon juice. Add 1/4 cup water and blend to make a smooth mixture like a chutney. Keep the Dhania Masala aside.Heat ghee in a pan over medium heat; add the onion, ginger and garlic and saute until the onion softens. Add the bay leaves, cinnamon stick, badi elaichi and saute for a few more seconds until you can smell the aromas.After a few seconds, add the garam masala, coriander powder, kala namak and the dhania masala. Give it a stir.Add the cooked chana, give it a stir. Add water if required to adjust the consistency of the chana masala. Cover the pan and simmer the Dhania Chole Masala for a good 10 minutes.After 10 minutes, you will notice that the chole is well coated with the dhania masala. At this stage, check the taste and adjust the salt and chilli accordingly.Once done, turn off the heat and transfer the Dhania Chole Masala to a serving bowl and serve hot.Serve the Dhania Chole Masala, along with Puri, Paneer in White Gravy, Lacha Pyaz and Chaas for a delicious weekend lunch.",North Indian Recipes,Main Course,High Protein Vegetarian,Punjabi,1,540,4,https://www.archanaskitchen.com/chole-dhania-masala-recipe
Nutty Aloo Paratha Recipe,"1 cup Whole Wheat Flour,1 cup Spinach Leaves (Palak) - pureed,Water - as required to make pliable dough,3 Potatoes (Aloo) - boiled and mashed,1/2 cup Paneer (Homemade Cottage Cheese) - crumbled/grated,1 tablespoon Coriander (Dhania) Leaves,1/2 teaspoon Garam masala powder,Salt - to taste,1/2 teaspoon Cumin powder (Jeera),1 teaspoon Red Chilli powder - or 2 chopped green chillies,1-1/2 tablespoon Mixed nuts - chopped,1 tablespoon Raisins,Ghee - to smear","To begin making Nutty Aloo Paratha Recipe,first knead the dough and keep it aside.In a Mixing bowl, bring together wheat flour, water, and spinach puree (if using) to a soft pliable dough by kneading well. Few drops of ghee or oil can be added if required.To make the fillingIn a large mixing bowl add the mashed potatoes or aloo, and all the other ingredients, crumbled paneer, coriander, garam masala, salt, jeera powder, red chilli powder/green chillies, chopped nuts, and raisins and mix them till they are well combined.Divide the nutty aloo filling into 8 to 10 equal portions. This process of dividing and keeping the portions of aloo paratha dough and filling ready, helps you gauge the number of parathas you can make and if you need more or less of the filling.The final step is to stuff the filling into the dough to make Nutty Aloo Paratha.Roll the dough into a small circle, place the filling inside and close the dough from all sides.Dust the filled aloo paratha dough in some flour and roll this stuffed nutty dough into a paratha, taking care not to let the stuffing ooze out.preheat a roti tawa and place the filled nutty aloo paratha. Allow it to cook on medium heat for about 30 to 45 seconds and flip over.Add this stage add a teaspoon of ghee or oil and spread it around. Flip again, so the oiled side can cook on the skillet. Spread a little more ghee and keep pressing the parathas while on the skillet to cook the paratha evenly from inside out.Do the flipping over process a couple of times until both sides get cooked, browned and crisp evenly. Make sure you cook on medium heat as it allows the nutty aloo parathas to get a crisp on the outside and yet soft texture.Once the aloo paratha is cooked transfer to a plate. Continue to the same process with the remaining parathas the same way.Serve Nutty Aloo Paratha Recipe with Rawal Pindi Style Chole and some Kachumber Salad Recipe With Cucumber, Onion & Tomatoes for weekend brunch. Add Quick Strawberry Yogurt Smoothie to complete the meal.",North Indian Recipes,North Indian Breakfast,Vegetarian,Punjabi,1,55,4,http://www.archanaskitchen.com/nutty-aloo-paratha-recipe
Crispy Masala Peanuts Recipe - Gujarati Sing Bhujia,"1 cup Raw Peanuts (Moongphali),2 tablespoons Gram flour (besan),1 tablespoon Rice flour,1/2 teaspoon Red Chilli powder,1/2 Coriander Powder (Dhania),2 pinch Chaat Masala Powder,1/4 cup Water,2 pinch Black pepper powder,1 teaspoon Sunflower Oil,Salt - to taste,Sunflower Oil - to fry","To begin making the Crispy Masala Peanuts recipe, First we need to take a big bowl, mix together peanuts, gram flour, rice flour, red chilly powder, coriander powder, chat masala, water, black pepper powder, oil and salt to tasteMix all nicely using little water.Remember add less water and making sure the spices and flour stick to the peanuts uniformly.Heat the oil in a kadai/wok on medium heat. Fry the peanuts until they turn golden brown.When they are done, take them out from the oil and place them on a absorbent paper.At this time these are not much crispy but after cooling to room temperature, the peanuts should be crispy.Now Crispy Masala Peanuts are ready, sprinkle some chat masala with dry mint and serve.Serve Crispy Masala Peanuts along with Masala Chai during your tea time break. You can also serve it as a snack with your drinks for house parties.",Gujarati Recipes,Snack,High Protein Vegetarian,Gujarati,1,35,3,http://www.archanaskitchen.com/crispy-masala-peanuts-recipe-gujarati-sing-bhujia
Maa Ki Dal (Recipe),"1 cup black urad dal (split), 1 tablespoon kidney beans, 4 tomatoes - chopped, 1 inch ginger - grated, 1 tablespoon ghee, 1 teaspoon cumin seeds, 1 teaspoon Kashmiri red chilli powder, 1 tablespoon coriander powder , 1/2 teaspoon garam masala powder, salt - as per taste","To make Maa Dal, first wash and soak the lentils and beans for 2-3 hours in water. Now heat 5 cups of water in a pan. Add dal and rajma to it and let it cook till it becomes soft. Allow to cook for 2 to 3 hours, which increases its taste even more. Then add tomatoes and ginger to it. Mash it a little bit. Now heat ghee in a tempering pan. Add cumin seeds and cook till it turns brown. Now add all the dry spices and cook for 1 minute. Add this tempering to the dal and let it boil. Cook for 10 to 15 minutes and serve hot. Serve Maa Dal with Lacha Paratha and Sew Tomato Vegetable for dinner.",Punjabi,Dinner,High Protein Vegetarian,Punjabi,1,160,4,http://www.archanaskitchen.com/maa-ki-dal-recipe-in-hindi
